"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"
"CHEMBL2220427"	"ERYTHROMYCIN PROPIONATE"	"4.0"	"790.00"	"2"	"2.75"	"ERYTHROMYCIN PROPIONATE"	"CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C"	"IC50"	""	""	""	""	""	"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)"	""	""	""	""	""	"0"	"CHEMBL1909122"	"DRUGMATRIX: Cannabinoid CB1 radioligand binding (ligand: [3H] SR141716A)"	"B"	"BAO_0000249"	"cell membrane format"	"None"	"None"	"None"	"Chem-1"	"Membrane"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909046"	"15"	"DrugMatrix"	""	""	"None"	""
"CHEMBL230822"	""	"None"	"459.40"	"1"	"5.56"	"11"	"C[C@H](NS(=O)(=O)c1cccc(Cl)c1)[C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1"	"IC50"	"'='"	"13.9"	"nM"	"7.86"	""	""	"UO_0000065"	"17.10"	"0.36"	"2.30"	"11.23"	"0"	"CHEMBL887423"	"Displacement of [3H]CP-55940 from human recombinant CB1 receptor expressed in CHO cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1144613"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"CHEMBL3308072"	""
"CHEMBL197601"	""	"None"	"453.67"	"1"	"7.47"	"UP63"	"CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCc1ccc(OC)cc1OC"	"Ki"	"'='"	"200.0"	"nM"	"6.70"	""	""	"UO_0000065"	"14.77"	"0.28"	"-0.77"	"14.09"	"0"	"CHEMBL863909"	"Displacement of [3H]CP-55940 from human recombinant CB1 receptor in presence of hydrolase inhibitor PMSF"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1148545"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""
"CHEMBL262858"	""	"None"	"386.45"	"0"	"4.38"	"13"	"O=C(c1cc2c(cn1)OC(c1ccccc1)(c1ccccc1)O2)N1CCCCC1"	"Ki"	"'='"	"13.0"	"nM"	"7.89"	""	""	"UO_0000065"	"20.41"	"0.37"	"3.51"	"15.27"	"0"	"CHEMBL932400"	"Displacement of [3H]CP-55940 from human CB1R expressed in HEK293 cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1142431"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"CHEMBL3307715"	""
"CHEMBL372530"	""	"None"	"401.64"	"1"	"7.35"	"UP27-18"	"CCCCCCCC/C=C\CCCCCCCC(=O)NCc1ccc(OC)cc1"	"Ki"	"'='"	"600.0"	"nM"	"6.22"	""	""	"UO_0000065"	"15.49"	"0.29"	"-1.13"	"16.23"	"0"	"CHEMBL863909"	"Displacement of [3H]CP-55940 from human recombinant CB1 receptor in presence of hydrolase inhibitor PMSF"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1148545"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""
"CHEMBL591066"	""	"None"	"425.79"	"1"	"6.13"	"14d"	"CC(=O)NCC[C@@H]1CC[C@@H](c2ccc(Cl)cc2Cl)N(c2ccc(Cl)cc2)C1"	"Ki"	"'='"	"42.0"	"nM"	"7.38"	""	""	"UO_0000065"	"17.32"	"0.37"	"1.25"	"22.81"	"0"	"CHEMBL1070892"	"Binding affinity to human CB1 receptor"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1157730"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2010"	"None"	""
"CHEMBL591540"	""	"None"	"510.87"	"2"	"5.98"	"12c"	"O=S(=O)(NC[C@@H]1CC[C@@H](c2ccc(Cl)cc2Cl)N(c2ccc(Cl)cc2)C1)c1cccnc1"	"Ki"	"'='"	"6.0"	"nM"	"8.22"	""	""	"UO_0000065"	"16.09"	"0.35"	"2.24"	"13.20"	"0"	"CHEMBL1070892"	"Binding affinity to human CB1 receptor"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1157730"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2010"	"None"	""
"CHEMBL259339"	""	"None"	"513.59"	"2"	"5.98"	"11a"	"O=S(=O)(c1ccc2c(c1)OC(c1ccccc1)(c1ccccc1)O2)N1CC=C(c2ccc(F)cc2)CC1"	"Ki"	"'='"	"13.0"	"nM"	"7.89"	""	""	"UO_0000065"	"15.35"	"0.29"	"1.91"	"14.12"	"0"	"CHEMBL932400"	"Displacement of [3H]CP-55940 from human CB1R expressed in HEK293 cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1142431"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"CHEMBL3307715"	""
"CHEMBL590346"	""	"None"	"508.28"	"2"	"7.57"	"16c"	"O=C(NCc1ccc(Cl)cc1)[C@@H]1CC[C@@H](c2ccc(Cl)cc2Cl)N(c2ccc(Cl)cc2)C1"	"Ki"	"'='"	"63.0"	"nM"	"7.20"	""	""	"UO_0000065"	"14.17"	"0.31"	"-0.37"	"22.27"	"0"	"CHEMBL1070892"	"Binding affinity to human CB1 receptor"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1157730"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2010"	"None"	""
"CHEMBL1631296"	""	"None"	"405.33"	"1"	"5.03"	"26"	"Cc1c(C(=O)NC(C)C)nn(-c2ccc(Cl)cc2Cl)c1-n1c(C)ccc1C"	"Ki"	"'='"	"233.5"	"nM"	"6.63"	""	""	"UO_0000065"	"16.36"	"0.34"	"1.60"	"12.79"	"0"	"CHEMBL1636581"	"Displacement of [3H]CP-55,940 from recombinant human CB1 receptor transfected in HEK cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1629497"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2010"	"CHEMBL3307715"	""
"CHEMBL498470"	""	"None"	"381.84"	"1"	"5.64"	"69"	"Fc1ccc(-c2noc(CCCCc3ccc4ncccc4c3)n2)c(Cl)c1"	"Emax"	"'='"	"32.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL1006418"	"Agonist activity at human recombinant CB1 receptor expressed in Sf9 cells by GTP-europium binding assay relative to CP-55940"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1156631"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"CHEMBL3308860"	""
"CHEMBL410727"	""	"None"	"522.26"	"2"	"7.13"	"26"	"Cc1c(C(=O)NCc2ccc(Cl)c(Cl)c2)nn(-c2ccc(Cl)cc2Cl)c1-n1c(C)ccc1C"	"IC50"	"'='"	"50.0"	"nM"	"7.30"	""	""	"UO_0000065"	"13.98"	"0.30"	"0.17"	"14.08"	"0"	"CHEMBL933206"	"Displacement of [3H]CP-55940 from human recombinant CB1 receptor expressed in HEK cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1142276"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"CHEMBL3307715"	""
"CHEMBL259042"	""	"None"	"522.26"	"2"	"7.13"	"32"	"Cc1c(C(=O)NCc2ccc(Cl)c(Cl)c2)nn(-c2ccc(Cl)c(Cl)c2)c1-n1c(C)ccc1C"	"IC50"	"'='"	"500.0"	"nM"	"6.30"	""	""	"UO_0000065"	"12.06"	"0.26"	"-0.83"	"12.15"	"0"	"CHEMBL933206"	"Displacement of [3H]CP-55940 from human recombinant CB1 receptor expressed in HEK cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1142276"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"CHEMBL3307715"	""
"CHEMBL498470"	""	"None"	"381.84"	"1"	"5.64"	"69"	"Fc1ccc(-c2noc(CCCCc3ccc4ncccc4c3)n2)c(Cl)c1"	"Emax"	"'='"	"10.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL1006422"	"Agonist activity at human recombinant CB1 receptor expressed in CHO-K1 cells assessed as inhibition of forskolin-stimulated intracellular cAMP level relative to CP-55940"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO-K1"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1156631"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"CHEMBL3307512"	""
"CHEMBL540704"	""	"None"	"428.47"	"1"	"5.57"	"7"	"CCn1c2ccccc2c2cc(NC(=O)CCc3nc(-c4ccccc4F)no3)ccc21"	"Emax"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL1006418"	"Agonist activity at human recombinant CB1 receptor expressed in Sf9 cells by GTP-europium binding assay relative to CP-55940"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1156631"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"CHEMBL3308860"	""
"CHEMBL418721"	""	"None"	"489.83"	"1"	"6.18"	"71"	"Cc1c(C(=O)NN2CC3CCCC3C2)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(Cl)cc1"	"Kd"	"'='"	"0.1585"	"nM"	"9.80"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL835454"	"In vitro cannabinoid receptor 1 antagonism of [3H]arachidonic acid release by CHO cells"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1145197"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"CHEMBL3308072"	""
"CHEMBL432857"	""	"None"	"366.51"	"0"	"4.49"	"2"	"Cc1c(C(=O)NN2CCCCC2)nn(C2CCCCC2)c1-c1ccccc1"	"Ki"	"'='"	"605.3"	"nM"	"6.22"	""	""	"UO_0000065"	"16.97"	"0.31"	"1.73"	"12.40"	"0"	"CHEMBL3070221"	"Antagonist activity at CB1 receptor (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3046337"	"1"	"Scientific Literature"	"Med Chem Res"	"2013"	"None"	""
"CHEMBL2296779"	""	"None"	"508.25"	"2"	"6.93"	"T5"	"Cc1c(NC(=O)N2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Br)cc1"	"Ki"	"'='"	"47.0"	"nM"	"7.33"	""	""	"UO_0000065"	"14.42"	"0.33"	"0.40"	"14.61"	"0"	"CHEMBL3070221"	"Antagonist activity at CB1 receptor (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3046337"	"1"	"Scientific Literature"	"Med Chem Res"	"2013"	"None"	""
"CHEMBL2296781"	""	"None"	"523.26"	"2"	"6.16"	"T8"	"O=C(NC1CCCCC1)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(Br)cc2)c1CO"	"Ki"	"'='"	"6.0"	"nM"	"8.22"	""	""	"UO_0000065"	"15.71"	"0.36"	"2.06"	"12.24"	"0"	"CHEMBL3070221"	"Antagonist activity at CB1 receptor (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3046337"	"1"	"Scientific Literature"	"Med Chem Res"	"2013"	"None"	""
"CHEMBL400040"	""	"None"	"351.49"	"1"	"5.84"	"10"	"C=C(C)C1CCC(C)=C[C@H]1c1c(O)cc(C2(C#N)CCCCC2)cc1O"	"Ki"	"'='"	"319.0"	"nM"	"6.50"	""	""	"UO_0000065"	"18.48"	"0.34"	"0.66"	"10.11"	"1"	"CHEMBL925155"	"Binding affinity to CB1 receptor"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1140633"	"1"	"Scientific Literature"	"J Med Chem"	"2007"	"None"	""
"CHEMBL111"	"RIMONABANT"	"4.0"	"463.80"	"1"	"5.94"	"1"	"Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1"	"IC50"	"'='"	"6.1"	"nM"	"8.21"	""	""	"UO_0000065"	"17.71"	"0.37"	"2.27"	"16.38"	"0"	"CHEMBL887423"	"Displacement of [3H]CP-55940 from human recombinant CB1 receptor expressed in CHO cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1144613"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"CHEMBL3308072"	""
"CHEMBL206859"	""	"None"	"337.46"	"1"	"5.34"	"7"	"CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C3(C#N)CCCC3)cc1OC2(C)C"	"Ki"	"'='"	"28.18"	"nM"	"7.55"	""	""	"UO_0000065"	"22.37"	"0.41"	"2.21"	"14.18"	"1"	"CHEMBL925155"	"Binding affinity to CB1 receptor"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1140633"	"1"	"Scientific Literature"	"J Med Chem"	"2007"	"None"	""
"CHEMBL247552"	""	"None"	"415.54"	"0"	"4.71"	"29"	"Cc1ccc(-c2ncc(C(=O)N[C@@H]3CCCC[C@@H]3CO)nc2-c2ccc(C)cc2)cc1"	"Ki"	"'='"	"167.0"	"nM"	"6.78"	""	""	"UO_0000065"	"16.31"	"0.30"	"2.07"	"9.02"	"0"	"CHEMBL887035"	"Binding affinity to human CB1 receptor"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139999"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"None"	""
"CHEMBL1203961"	""	"None"	"404.98"	"0"	"4.15"	"39"	"Cc1c(C(=O)C2C(C)(C)C2(C)C)c2ccccc2n1CCN1CCOCC1.Cl"	"Ki"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL931642"	"Displacement of [3H]CP-55940 from human recombinant CB1 receptor expressed in HEK cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1144013"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"CHEMBL3307715"	""
"CHEMBL1397703"	""	"None"	"429.50"	"0"	"2.09"	"SID87544619"	"O=C(Nc1cccc(S(=O)(=O)N2CCOCC2)c1)c1ccc(N2CCCC2=O)cc1"	"IC50"	"'>'"	"32000.0"	"nM"	""	""	"inactive"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1738248"	"PUBCHEM_BIOASSAY: SAR analysis of antagonists of the Cannabinoid Receptor 1 using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1961, AID1965]"	"F"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1201862"	"7"	"PubChem BioAssays"	""	""	"None"	""
"CHEMBL1398414"	""	"None"	"420.44"	"0"	"1.70"	"SID87544620"	"COc1ccc(S(=O)(=O)N2CCOCC2)cc1NC(=O)c1ccc2c(c1)OCO2"	"IC50"	"'>'"	"32000.0"	"nM"	""	""	"inactive"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1738248"	"PUBCHEM_BIOASSAY: SAR analysis of antagonists of the Cannabinoid Receptor 1 using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1961, AID1965]"	"F"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1201862"	"7"	"PubChem BioAssays"	""	""	"None"	""
"CHEMBL498527"	""	"None"	"500.71"	"2"	"7.04"	"11r"	"CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2ccc(Sc3ccccc3)cc21"	"Ki"	"'='"	"5.3"	"nM"	"8.28"	""	""	"UO_0000065"	"16.53"	"0.31"	"1.24"	"16.20"	"1"	"CHEMBL1006411"	"Displacement of [3H]CP-55940 from human CB1 receptor expressed in HEK293 cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1156630"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"CHEMBL3307715"	""
"CHEMBL439375"	""	"None"	"393.92"	"1"	"5.56"	"19"	"Cc1ccccc1-c1nc(C(=O)NC2CCCCC2)cn1-c1ccc(Cl)cc1"	"Ki"	"'='"	"21.0"	"nM"	"7.68"	""	""	"UO_0000065"	"19.49"	"0.37"	"2.12"	"16.36"	"0"	"CHEMBL887658"	"Displacement of [3H]CP-559440 from human CB1 receptor expressed in HEK293 cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1144643"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"CHEMBL3307715"	""
"CHEMBL230611"	""	"None"	"507.87"	"2"	"6.55"	"(S,S)-18"	"C[C@@H]([C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1)N(C)S(=O)(=O)c1cc(Cl)cc(Cl)c1"	"IC50"	"'>'"	"2000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL887423"	"Displacement of [3H]CP-55940 from human recombinant CB1 receptor expressed in CHO cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"CHO"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1144613"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"CHEMBL3308072"	""
"CHEMBL1269766"	""	"None"	"970.70"	"2"	"13.58"	"5d"	"Cc1c(C(=O)NCCCCCCCNCCCCCCCNC(=O)c2nn(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)c2C)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1"	"Ki"	"'='"	"4.41"	"nM"	"8.36"	""	""	"UO_0000065"	"8.61"	"0.18"	"-5.22"	"7.89"	"0"	"CHEMBL1275185"	"Displacement of [3H]SR141716 from human CB1 receptor expressed in HEK293 cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1268814"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"CHEMBL3307715"	""
"CHEMBL600647"	""	"None"	"426.49"	"0"	"4.22"	"6f"	"CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)[nH]c12"	"Activity"	"'='"	"26.3"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL1072259"	"Displacement of [3H]CP-55940 from CB1 receptor at 10 uM"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1157654"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2010"	"None"	""
"CHEMBL228510"	""	"None"	"375.55"	"1"	"5.51"	"25"	"CCCCCCc1ccc(OCCCCCCCC(=O)NC2CC2)cc1O"	"Ki"	"'='"	"56.0"	"nM"	"7.25"	""	""	"UO_0000065"	"19.31"	"0.37"	"1.74"	"12.38"	"0"	"CHEMBL906558"	"Displacement of [3H]CP-55940 from human CB1 receptor expressed in HEK cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1143734"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2007"	"CHEMBL3307715"	""
"CHEMBL387646"	""	"None"	"380.88"	"0"	"4.65"	"24"	"O=C(NC1CCCCC1)c1cn(-c2cccnc2)c(-c2ccccc2Cl)n1"	"Ki"	"'='"	"1100.0"	"nM"	"5.96"	""	""	"UO_0000065"	"15.64"	"0.30"	"1.31"	"9.96"	"0"	"CHEMBL887658"	"Displacement of [3H]CP-559440 from human CB1 receptor expressed in HEK293 cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1144643"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"CHEMBL3307715"	""
"CHEMBL203924"	""	"None"	"442.94"	"0"	"4.73"	"6b"	"CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc(Cl)cc3)c(=O)[nH]c12"	"Ki"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1072261"	"Displacement of [3H]CP-55940 from CB1 receptor"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1157654"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2010"	"None"	""
"CHEMBL1269774"	""	"None"	"719.29"	"2"	"11.11"	"7f"	"Cc1c(C(=O)NCCCCCCCCCCCNCCCCCCCCCCCN)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1"	"Ki"	"'='"	"2.3"	"nM"	"8.64"	""	""	"UO_0000065"	"12.01"	"0.25"	"-2.47"	"10.17"	"0"	"CHEMBL1275185"	"Displacement of [3H]SR141716 from human CB1 receptor expressed in HEK293 cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1268814"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"CHEMBL3307715"	""
"CHEMBL4202650"	""	"None"	"452.58"	"0"	"3.04"	"16"	"Cc1ccc(-c2cc(S(=O)(=O)NCCN3CCOCC3)nnc2-c2ccc(C)cc2)cc1"	"Ki"	"'>'"	"40000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4186781"	"Displacement of [3H]CP,55-940 from recombinant human CB1 receptor expressed in HEK293 EBNA cell membranes after 90 mins by microbeta scintillation counting method"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4184183"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2018"	"None"	""
